epoch,accuracy,loss,val_accuracy,val_loss
0,0.36174923181533813,1.3314745426177979,0.4639769494533539,1.2733124494552612
1,0.6537503600120544,0.9965121746063232,0.6224783658981323,0.9433179497718811
2,0.7854968309402466,0.5925015211105347,0.7204610705375671,0.7782821655273438
3,0.8522003889083862,0.42093220353126526,0.6916426420211792,0.8018872737884521
4,0.8807085752487183,0.3349026143550873,0.6829971075057983,0.8296195864677429
5,0.9011901617050171,0.2780535817146301,0.6772334575653076,0.8958690762519836
6,0.922778844833374,0.2294308841228485,0.6945244669914246,0.9359850287437439
7,0.9346803426742554,0.19886840879917145,0.6455331444740295,0.988890528678894
8,0.947965681552887,0.1710142195224762,0.6685879230499268,1.027260184288025
9,0.9557154774665833,0.14787296950817108,0.6714697480201721,1.0808236598968506
10,0.9631884694099426,0.13086700439453125,0.6772334575653076,1.1689233779907227
11,0.9656794667243958,0.1205177903175354,0.6657060384750366,1.2283456325531006
12,0.9659562706947327,0.10965195298194885,0.6599423885345459,1.302337884902954
13,0.9692776203155518,0.10084383189678192,0.6484149694442749,1.2789678573608398
14,0.972045361995697,0.09784583747386932,0.6599423885345459,1.375169277191162
15,0.9692776203155518,0.09243226051330566,0.6484149694442749,1.4125102758407593
16,0.9723221659660339,0.08708439767360687,0.6541786789894104,1.470342755317688
17,0.9745364189147949,0.08081331849098206,0.6541786789894104,1.4500699043273926
18,0.974259614944458,0.08251968026161194,0.6714697480201721,1.4440017938613892
19,0.9745364189147949,0.07568829506635666,0.6570605039596558,1.488152027130127
20,0.975643515586853,0.07509404420852661,0.6455331444740295,1.5657225847244263
21,0.9745364189147949,0.07170283794403076,0.651296854019165,1.5326272249221802
22,0.9786880612373352,0.06699429452419281,0.6541786789894104,1.603715419769287
23,0.9767506122589111,0.06558975577354431,0.639769434928894,1.6142703294754028
24,0.9761970639228821,0.06698552519083023,0.6628242135047913,1.587508201599121
